"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Energy_Saver_App\main.py", "Python", 84, 3, 26, 113
"c:\Users\davey\Desktop\Projects\Energy_Saver_App\run_energy_saver.py", "Python", 24, 0, 5, 29
"c:\Users\davey\Desktop\Projects\Energy_Saver_App\state_management.py", "Python", 23, 0, 11, 34
"Total", "-", 131, 3, 42, 176
